Image_Name,Disease,Path,Height,Width,Status
100023.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100023.jpg,640,480,OK
100049.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100049.jpg,640,480,OK
100126.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100126.jpg,640,480,OK
100133.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100133.jpg,640,480,OK
100148.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100148.jpg,640,480,OK
100162.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100162.jpg,640,480,OK
100169.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100169.jpg,640,480,OK
100234.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100234.jpg,640,480,OK
100248.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100248.jpg,640,480,OK
100268.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100268.jpg,640,480,OK
100289.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100289.jpg,640,480,OK
100330.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100330.jpg,640,480,OK
100365.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100365.jpg,640,480,OK
100382.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100382.jpg,640,480,OK
100445.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100445.jpg,640,480,OK
100447.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100447.jpg,640,480,OK
100513.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100513.jpg,640,480,OK
100516.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100516.jpg,640,480,OK
100523.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100523.jpg,640,480,OK
100541.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100541.jpg,640,480,OK
100542.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100542.jpg,640,480,OK
100548.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100548.jpg,640,480,OK
100582.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100582.jpg,640,480,OK
100622.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100622.jpg,640,480,OK
100623.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100623.jpg,640,480,OK
100632.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100632.jpg,640,480,OK
100635.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100635.jpg,640,480,OK
100649.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100649.jpg,640,480,OK
100653.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100653.jpg,640,480,OK
100681.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100681.jpg,640,480,OK
100709.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100709.jpg,640,480,OK
100733.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100733.jpg,640,480,OK
100760.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100760.jpg,640,480,OK
100795.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100795.jpg,640,480,OK
100883.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100883.jpg,640,480,OK
100925.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100925.jpg,640,480,OK
100956.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100956.jpg,640,480,OK
100967.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100967.jpg,640,480,OK
100982.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100982.jpg,640,480,OK
100998.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\100998.jpg,640,480,OK
101004.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101004.jpg,640,480,OK
101013.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101013.jpg,640,480,OK
101169.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101169.jpg,640,480,OK
101173.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101173.jpg,640,480,OK
101176.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101176.jpg,640,480,OK
101187.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101187.jpg,640,480,OK
101198.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101198.jpg,640,480,OK
101229.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101229.jpg,640,480,OK
101355.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101355.jpg,640,480,OK
101391.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101391.jpg,640,480,OK
101394.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101394.jpg,640,480,OK
101406.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101406.jpg,640,480,OK
101420.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101420.jpg,640,480,OK
101425.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101425.jpg,640,480,OK
101428.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101428.jpg,640,480,OK
101467.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101467.jpg,640,480,OK
101469.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101469.jpg,640,480,OK
101473.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101473.jpg,640,480,OK
101485.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101485.jpg,640,480,OK
101516.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101516.jpg,640,480,OK
101530.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101530.jpg,640,480,OK
101544.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101544.jpg,640,480,OK
101553.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101553.jpg,640,480,OK
101593.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101593.jpg,640,480,OK
101638.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101638.jpg,640,480,OK
101647.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101647.jpg,640,480,OK
101649.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101649.jpg,640,480,OK
101652.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101652.jpg,640,480,OK
101658.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101658.jpg,640,480,OK
101659.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101659.jpg,640,480,OK
101676.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101676.jpg,640,480,OK
101702.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101702.jpg,640,480,OK
101718.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101718.jpg,640,480,OK
101731.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101731.jpg,640,480,OK
101761.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101761.jpg,640,480,OK
101767.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101767.jpg,640,480,OK
101768.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101768.jpg,640,480,OK
101780.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101780.jpg,640,480,OK
101798.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101798.jpg,640,480,OK
101800.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101800.jpg,640,480,OK
101805.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101805.jpg,640,480,OK
101809.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101809.jpg,640,480,OK
101812.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101812.jpg,640,480,OK
101818.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101818.jpg,640,480,OK
101849.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101849.jpg,640,480,OK
101857.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101857.jpg,640,480,OK
101886.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101886.jpg,640,480,OK
101888.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101888.jpg,640,480,OK
101918.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101918.jpg,640,480,OK
101930.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101930.jpg,640,480,OK
101933.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101933.jpg,640,480,OK
101938.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101938.jpg,640,480,OK
101973.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101973.jpg,640,480,OK
101979.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101979.jpg,640,480,OK
101995.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\101995.jpg,640,480,OK
102038.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102038.jpg,640,480,OK
102062.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102062.jpg,640,480,OK
102071.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102071.jpg,640,480,OK
102106.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102106.jpg,640,480,OK
102117.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102117.jpg,640,480,OK
102119.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102119.jpg,640,480,OK
102127.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102127.jpg,640,480,OK
102128.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102128.jpg,640,480,OK
102130.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102130.jpg,640,480,OK
102166.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102166.jpg,640,480,OK
102167.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102167.jpg,640,480,OK
102190.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102190.jpg,640,480,OK
102206.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102206.jpg,640,480,OK
102238.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102238.jpg,640,480,OK
102259.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102259.jpg,640,480,OK
102314.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102314.jpg,640,480,OK
102323.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102323.jpg,640,480,OK
102338.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102338.jpg,640,480,OK
102353.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102353.jpg,640,480,OK
102420.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102420.jpg,640,480,OK
102427.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102427.jpg,640,480,OK
102475.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102475.jpg,640,480,OK
102488.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102488.jpg,640,480,OK
102516.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102516.jpg,640,480,OK
102544.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102544.jpg,640,480,OK
102555.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102555.jpg,640,480,OK
102560.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102560.jpg,640,480,OK
102582.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102582.jpg,640,480,OK
102617.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102617.jpg,640,480,OK
102639.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102639.jpg,640,480,OK
102648.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102648.jpg,640,480,OK
102659.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102659.jpg,640,480,OK
102667.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102667.jpg,640,480,OK
102726.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102726.jpg,640,480,OK
102738.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102738.jpg,640,480,OK
102773.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102773.jpg,640,480,OK
102817.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102817.jpg,640,480,OK
102835.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102835.jpg,640,480,OK
102841.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102841.jpg,640,480,OK
102848.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102848.jpg,640,480,OK
102890.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102890.jpg,640,480,OK
102902.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102902.jpg,640,480,OK
102935.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102935.jpg,640,480,OK
102940.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102940.jpg,640,480,OK
102981.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\102981.jpg,640,480,OK
103032.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103032.jpg,640,480,OK
103033.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103033.jpg,640,480,OK
103048.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103048.jpg,640,480,OK
103051.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103051.jpg,640,480,OK
103056.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103056.jpg,640,480,OK
103070.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103070.jpg,640,480,OK
103097.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103097.jpg,640,480,OK
103107.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103107.jpg,640,480,OK
103127.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103127.jpg,640,480,OK
103169.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103169.jpg,640,480,OK
103174.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103174.jpg,640,480,OK
103177.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103177.jpg,640,480,OK
103187.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103187.jpg,640,480,OK
103205.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103205.jpg,640,480,OK
103230.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103230.jpg,640,480,OK
103276.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103276.jpg,640,480,OK
103313.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103313.jpg,640,480,OK
103319.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103319.jpg,640,480,OK
103323.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103323.jpg,640,480,OK
103344.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103344.jpg,640,480,OK
103355.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103355.jpg,640,480,OK
103357.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103357.jpg,640,480,OK
103380.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103380.jpg,640,480,OK
103389.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103389.jpg,640,480,OK
103392.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103392.jpg,640,480,OK
103435.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103435.jpg,640,480,OK
103447.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103447.jpg,640,480,OK
103458.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103458.jpg,640,480,OK
103487.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103487.jpg,640,480,OK
103500.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103500.jpg,640,480,OK
103552.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103552.jpg,640,480,OK
103606.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103606.jpg,640,480,OK
103615.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103615.jpg,640,480,OK
103629.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103629.jpg,640,480,OK
103637.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103637.jpg,640,480,OK
103679.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103679.jpg,640,480,OK
103686.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103686.jpg,640,480,OK
103702.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103702.jpg,640,480,OK
103734.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103734.jpg,640,480,OK
103839.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103839.jpg,640,480,OK
103920.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103920.jpg,640,480,OK
103923.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\103923.jpg,640,480,OK
104017.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104017.jpg,640,480,OK
104018.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104018.jpg,640,480,OK
104053.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104053.jpg,640,480,OK
104055.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104055.jpg,640,480,OK
104086.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104086.jpg,640,480,OK
104092.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104092.jpg,640,480,OK
104106.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104106.jpg,640,480,OK
104108.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104108.jpg,640,480,OK
104110.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104110.jpg,640,480,OK
104175.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104175.jpg,640,480,OK
104255.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104255.jpg,640,480,OK
104271.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104271.jpg,640,480,OK
104273.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104273.jpg,640,480,OK
104316.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104316.jpg,640,480,OK
104324.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104324.jpg,640,480,OK
104347.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104347.jpg,640,480,OK
104361.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104361.jpg,640,480,OK
104401.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104401.jpg,640,480,OK
104428.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104428.jpg,640,480,OK
104430.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104430.jpg,640,480,OK
104432.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104432.jpg,640,480,OK
104438.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104438.jpg,640,480,OK
104439.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104439.jpg,640,480,OK
104448.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104448.jpg,640,480,OK
104458.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104458.jpg,640,480,OK
104494.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104494.jpg,640,480,OK
104518.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104518.jpg,640,480,OK
104532.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104532.jpg,640,480,OK
104535.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104535.jpg,640,480,OK
104576.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104576.jpg,640,480,OK
104605.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104605.jpg,640,480,OK
104635.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104635.jpg,640,480,OK
104639.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104639.jpg,640,480,OK
104657.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104657.jpg,640,480,OK
104690.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104690.jpg,640,480,OK
104691.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104691.jpg,640,480,OK
104697.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104697.jpg,640,480,OK
104702.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104702.jpg,640,480,OK
104704.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104704.jpg,640,480,OK
104732.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104732.jpg,640,480,OK
104751.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104751.jpg,640,480,OK
104752.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104752.jpg,640,480,OK
104776.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104776.jpg,640,480,OK
104778.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104778.jpg,640,480,OK
104799.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104799.jpg,640,480,OK
104800.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104800.jpg,640,480,OK
104819.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104819.jpg,640,480,OK
104827.jpg,bacterial_leaf_blight,train_images\bacterial_leaf_blight\104827.jpg,640,480,OK
