age_group,rice_variety
2 1/2 Months,Bg 750
2 1/2 Months,Bg 250
2 1/2 Months,Bg 251(GSR)
2 1/2 Months,Bg 252
2 1/2 Months,Ld 253
2 1/2 Months,At 313
3 Months,H 10
3 Months,62-355
3 Months,Bg-34-8
3 Months,Bg 276-5
3 Months,Bw 272-6b
3 Months,Bg 300
3 Months,Bg 301
3 Months,Bw 302
3 Months,At 303
3 Months,Bg 304
3 Months,Bg 305
3 Months,At 306
3 Months,At 307
3 Months,At 308
3 Months,At 309
3 Months,Bg 310
3 Months,At 311
3 Months,Bg 314
3 1/2 Months,H 7
3 1/2 Months,At 16
3 1/2 Months,Bw 266-7
3 1/2 Months,Bw 267-3
3 1/2 Months,Bg 34-6
3 1/2 Months,Bg 94-1
3 1/2 Months,Bg 94-2
3 1/2 Months,Bg 350
3 1/2 Months,Bw 351
3 1/2 Months,Bg 352
3 1/2 Months,At 353
3 1/2 Months,At 354
3 1/2 Months,Ld 355
3 1/2 Months,Ld 356
3 1/2 Months,Bg 357
3 1/2 Months,Bg 358
3 1/2 Months,Bg 359
3 1/2 Months,Bg 360
3 1/2 Months,Bw 361
3 1/2 Months,At 362
3 1/2 Months,Bw 363
3 1/2 Months,Bw 364
3 1/2 Months,Ld 365
3 1/2 Months,Bg 366
3 1/2 Months,Bw 367
3 1/2 Months,Ld 368
3 1/2 Months,Bg 369
3 1/2 Months,Bg 370
3 1/2 Months,Ld 371
3 1/2 Months,Bw 372
3 1/2 Months,At 373
3 1/2 Months,Bg 374
3 1/2 Months,Bg 375
3 1/2 Months,Bg 377
3 1/2 Months,Ld 376
3 1/2 Months,Bg 381 IP
4 - 4 1/2 Months,H 4
4 - 4 1/2 Months,H 8
4 - 4 1/2 Months,Bg 11-11
4 - 4 1/2 Months,Bg 90-2
4 - 4 1/2 Months,Bg 379-2
4 - 4 1/2 Months,Bg 400-1
4 - 4 1/2 Months,Bg 380
4 - 4 1/2 Months,Ld 66
4 - 4 1/2 Months,Bw 78
4 - 4 1/2 Months,Bw 100
4 - 4 1/2 Months,MI 273
4 - 4 1/2 Months,Bw 400
4 - 4 1/2 Months,At 401
4 - 4 1/2 Months,At 402
4 - 4 1/2 Months,Bg 403
4 - 4 1/2 Months,At 405
4 - 4 1/2 Months,Bg 406
4 - 4 1/2 Months,Bg 407H
4 - 4 1/2 Months,Ld 408
4 - 4 1/2 Months,Bg 450
4 - 4 1/2 Months,Bw 451
4 - 4 1/2 Months,Bw 452
4 - 4 1/2 Months,Bw 453
4 - 4 1/2 Months,Bg 454
4 - 4 1/2 Months,Bg 455
4 - 4 1/2 Months,Bg 409
